initial_equity,final_equity,return_pct,sharpe,max_drawdown_pct,trades,closed_trades,win_rate_pct,profit_factor,avg_trade_return_pct,transaction_costs,long_exposure_pct,short_exposure_pct,flat_exposure_pct,average_position,transitions,ticker,symbol,period,buy_hold_return_pct,cash_return_pct,short_only_return_pct,excess_vs_bh_pct
100000.0,103130.61915067465,3.1306191506746517,0.6492075539629744,-6.210467678250387,11,8,37.5,1.8423107657570923,0.4147804323197918,321.7341296335014,93.54838709677419,0.0,6.451612903225806,0.4774193548387097,"{'0->0.5': 1, '0.5->0.5': 137, '0.5->0.0': 3, '0.0->1.0': 2, '1.0->0.5': 3, '0.0->0.0': 7, '0.0->0.5': 1, '0.5->1.0': 1}",RELIANCE,RELIANCE.NS,validation,5.493525623120465,0.0,-6.794538501660307,-2.3629064724458138
100000.0,90629.77091541897,-9.37022908458104,-1.0733462889978225,-11.778343517319223,80,76,40.78947368421053,0.7419531997308345,-0.12183162957525145,2532.801072977567,48.07692307692308,47.43589743589743,4.487179487179487,-0.03205128205128205,"{'0->0.0': 1, '0.0->1.0': 3, '1.0->0.5': 11, '0.5->0.5': 47, '0.5->0.0': 2, '0.5->1.0': 6, '1.0->0.0': 1, '0.0->0.0': 2, '0.0->0.5': 2, '0.5->-1.0': 6, '-1.0->-0.5': 24, '-0.5->-1.0': 17, '-0.5->0.0': 1, '-0.5->-0.5': 26, '-0.5->1.0': 4, '1.0->-1.0': 1, '-0.5->0.5': 2}",RELIANCE,RELIANCE.NS,test,-12.107117624163743,0.0,10.364888945037043,2.7368885395827043
100000.0,95143.92378525199,-4.856076214748017,-1.3390753228849066,-8.625742527832891,11,6,16.666666666666664,0.41810607930903704,-0.7864131482060869,261.79693886383035,57.41935483870968,0.0,42.58064516129032,0.2870967741935484,"{'0->0.0': 1, '0.0->0.0': 60, '0.0->0.5': 6, '0.5->0.5': 83, '0.5->0.0': 5}",TCS,TCS.NS,validation,-6.47729078725151,0.0,5.032651054715176,1.6212145725034928
100000.0,91481.9179231006,-8.518082076899402,-1.2101374291256795,-11.291957880948,9,5,20.0,0.26755234512628134,-1.712071291028121,210.75078745025297,37.82051282051282,0.0,62.17948717948718,0.1891025641025641,"{'0->0.5': 1, '0.5->0.5': 54, '0.5->0.0': 4, '0.0->0.5': 4, '0.0->0.0': 93}",TCS,TCS.NS,test,-27.519916858071436,0.0,29.274199480461792,19.001834781172036
100000.0,98922.46638392581,-1.0775336160741888,-0.16859421199320088,-8.12594295969501,11,7,42.857142857142854,0.8339531508560826,-0.12185710902070973,368.746431946112,78.06451612903226,0.6451612903225806,21.29032258064516,0.3870967741935484,"{'0->0.5': 1, '0.5->0.5': 115, '0.5->0.0': 3, '0.0->1.0': 1, '1.0->0.5': 1, '0.5->-1.0': 1, '-1.0->0.0': 1, '0.0->0.0': 29, '0.0->0.5': 3}",INFY,INFY.NS,validation,5.024486267704598,0.0,-7.275823497851841,-6.1020198837787865
100000.0,94926.28413396055,-5.073715866039452,-0.8120660783600736,-7.607578137711535,7,4,50.0,0.191554791629407,-1.2567408472776098,167.8193069007345,31.41025641025641,0.0,68.58974358974359,0.15705128205128205,"{'0->0.5': 1, '0.5->0.5': 45, '0.5->0.0': 3, '0.0->0.0': 104, '0.0->0.5': 3}",INFY,INFY.NS,test,-30.12460454972219,0.0,33.54730377748629,25.050888683682736
100000.0,97754.84123918989,-2.2451587608101065,-0.4719267578974248,-5.85235414511004,18,17,29.411764705882355,0.7291689056965508,-0.1263737115338376,459.88488933932064,98.70967741935483,0.0,1.2903225806451613,0.5193548387096775,"{'0->0.5': 1, '0.5->0.5': 136, '0.5->0.0': 1, '0.0->0.0': 1, '0.0->1.0': 1, '1.0->0.5': 8, '0.5->1.0': 7}",ICICIBANK,ICICIBANK.NS,validation,-2.636662923219557,0.0,1.5548297020796076,0.39150416240945063
100000.0,95333.7798409616,-4.666220159038403,-0.5315885386469423,-9.70298856310523,34,33,33.33333333333333,0.8048071584093428,-0.13041266371212865,1068.0216888600319,72.43589743589743,26.923076923076923,0.641025641025641,0.20192307692307693,"{'0->0.5': 1, '0.5->0.5': 103, '0.5->1.0': 1, '1.0->1.0': 1, '1.0->0.5': 3, '0.5->0.0': 1, '0.0->1.0': 1, '0.5->-1.0': 3, '-1.0->-0.5': 12, '-0.5->-1.0': 9, '-0.5->-0.5': 18, '-0.5->0.5': 2, '-0.5->1.0': 1}",ICICIBANK,ICICIBANK.NS,test,0.2991824152235312,0.0,-3.0659608487975776,-4.965402574261934
100000.0,113389.51361129583,13.389513611295833,3.0262958385780845,-2.285390867616577,1,1,100.0,inf,13.389513611295945,24.98273513883457,100.0,0.0,0.0,0.5,"{'0->0.5': 1, '0.5->0.5': 154}",SBIN,SBIN.NS,validation,28.26031286664059,0.0,-22.949716436035537,-14.870799255344757
100000.0,115958.6217605824,15.958621760582403,1.739237042009318,-7.297361177382234,20,17,64.70588235294117,2.997509922773855,0.9078353876039795,630.1309972659025,92.3076923076923,0.0,7.6923076923076925,0.49038461538461536,"{'0->0.5': 1, '0.5->0.5': 126, '0.5->0.0': 3, '0.0->0.0': 9, '0.0->1.0': 3, '1.0->0.5': 8, '0.5->1.0': 5, '1.0->1.0': 1}",SBIN,SBIN.NS,test,6.002364862238685,0.0,-9.809517679977887,9.956256898343717
