strategy,stocks,mean_return,median_return,mean_sharpe,mean_max_drawdown,mean_trades
BUY_HOLD,7,0.040082384161483624,0.04796636192596959,0.9588482446952687,-0.0831359087567247,0.0
HYBRID_V6,7,-0.005139855529150432,0.0,-0.2777572952002268,-0.01832546669305733,2.142857142857143
TECHNICAL,7,-0.016442993023179912,-0.013185091173908536,-0.6530626963369989,-0.04394154064084673,5.571428571428571
