stock,strategy,final_equity,return,cagr,sharpe,max_drawdown,win_rate,profit_factor,observations,trades,long_exposure,short_exposure
RELIANCE,BUY_HOLD,104196.35787806807,0.04196357878068069,0.22521567468353476,1.1738477503117475,-0.048773169041421816,0.5490196078431373,1.2120593185191921,51,0,1.0,0.0
RELIANCE,TECHNICAL,95727.73820692659,-0.042722617930734175,-0.19405684207659368,-3.3757072513188744,-0.042722617930734175,0.0196078431372549,0.18181907959985408,51,4,0.0,0.13725490196078433
RELIANCE,HYBRID_V6,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0,0.0
TCS,BUY_HOLD,108382.731486239,0.08382731486239003,0.488483360178698,1.3447426493617758,-0.10814215842387964,0.5490196078431373,1.247601694475739,51,0,1.0,0.0
TCS,TECHNICAL,92749.80751075478,-0.07250192489245222,-0.31057369705605664,-2.550836119027651,-0.06260872778520798,0.0392156862745098,0.34371300030676155,51,6,0.0,0.19607843137254902
TCS,HYBRID_V6,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0,0.0
INFY,BUY_HOLD,100574.19922431785,0.005741992243178506,0.028695043552480204,0.25282398550415186,-0.1489159286949917,0.45098039215686275,1.0438846078560868,51,0,1.0,0.0
INFY,TECHNICAL,99772.5652546924,-0.0022743474530760865,-0.011187698021469905,0.06127941249744933,-0.06547128180286454,0.0784313725490196,1.0241238255563334,51,6,0.0,0.19607843137254902
INFY,HYBRID_V6,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0,0.0
ICICIBANK,BUY_HOLD,108729.78685479471,0.08729786854794708,0.5121836363637993,2.56053846799126,-0.039726027397260166,0.6078431372549019,1.5465063430890271,51,0,1.0,0.0
ICICIBANK,TECHNICAL,96480.33566268464,-0.03519664337315365,-0.1622597286579479,-2.1957379930549497,-0.0475686357476417,0.11764705882352941,0.4798347584354165,51,6,0.27450980392156865,0.0
ICICIBANK,HYBRID_V6,96480.33566268464,-0.03519664337315365,-0.1622597286579479,-2.1957379930549497,-0.0475686357476417,0.11764705882352941,0.4798347584354165,51,6,0.27450980392156865,0.0
SBIN,BUY_HOLD,104796.63619259695,0.04796636192596959,0.2604911795521172,1.326807243951464,-0.04484137200272986,0.5686274509803921,1.232106806763473,51,0,1.0,0.0
SBIN,TECHNICAL,98681.49088260914,-0.013185091173908536,-0.06347885518657137,-0.4204074424910139,-0.03611287216083214,0.17647058823529413,0.9025973953374533,51,6,0.4117647058823529,0.0
SBIN,HYBRID_V6,98681.49088260914,-0.013185091173908536,-0.06347885518657137,-0.4204074424910139,-0.03611287216083214,0.17647058823529413,0.9025973953374533,51,6,0.4117647058823529,0.0
LT,BUY_HOLD,105981.35680994301,0.05981356809943006,0.3324879467570503,1.532559031358837,-0.10454411699480304,0.49019607843137253,1.3183452806804905,51,0,1.0,0.0
LT,TECHNICAL,101240.27458430092,0.012402745843009155,0.06280030670951042,0.6718443691443758,-0.04459675894292747,0.19607843137254902,1.1862046896351583,51,3,0.43137254901960786,0.0
LT,HYBRID_V6,101240.27458430092,0.012402745843009155,0.06280030670951042,0.6718443691443758,-0.04459675894292747,0.19607843137254902,1.1862046896351583,51,3,0.43137254901960786,0.0
ITC,BUY_HOLD,95396.60046707894,-0.0460339953292106,-0.20773870423407625,-1.4793814156123557,-0.08700858874198669,0.47058823529411764,0.78577445186814,51,0,1.0,0.0
ITC,TECHNICAL,103837.69278180561,0.03837692781805613,0.20451742842986786,3.238126149891672,-0.008509890115719121,0.11764705882352941,3.3755434477651045,51,8,0.0,0.1568627450980392
ITC,HYBRID_V6,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,51,0,0.0,0.0
