stock,technical_excess_vs_bh,hybrid_excess_vs_bh,hybrid_minus_technical
ICICIBANK,-0.12249451192110072,-0.12249451192110072,0.0
INFY,-0.008016339696254593,-0.005741992243178506,0.0022743474530760865
ITC,0.08441092314726673,0.0460339953292106,-0.03837692781805613
LT,-0.047410822256420904,-0.047410822256420904,0.0
RELIANCE,-0.08468619671141486,-0.04196357878068069,0.042722617930734175
SBIN,-0.06115145309987813,-0.06115145309987813,0.0
TCS,-0.15632923975484225,-0.08382731486239003,0.07250192489245222
